"id_pokemon","nombre","tipo","habilidad","estadisticas"
26,"Pikachu","Eléctrico","Rayo","ataque: 55, defensa: 40, velocidad: 90"
27,"Charmander","Fuego","Lanzallamas","ataque: 52, defensa: 43, velocidad: 65"
28,"Squirtle","Agua","Pistola Agua","ataque: 48, defensa: 65, velocidad: 43"
29,"Bulbasaur","Planta/Veneno","Latigazo","ataque: 49, defensa: 49, velocidad: 45"
30,"Jigglypuff","Normal/Hada","Canto","ataque: 45, defensa: 20, velocidad: 20"
32,"Psyduck","Agua","Humedad","ataque: 52, defensa: 48, velocidad: 55"
33,"Machop","Lucha","Agallas","ataque: 80, defensa: 50, velocidad: 35"
35,"Magnemite","Eléctrico/Acero","Imán","ataque: 35, defensa: 70, velocidad: 45"
36,"Eevee","Normal","Fuga","ataque: 55, defensa: 50, velocidad: 55"
37,"Vulpix","Fuego","Sequía","ataque: 41, defensa: 40, velocidad: 65"
38,"Growlithe","Fuego","Intimidación","ataque: 70, defensa: 45, velocidad: 60"
39,"Poliwag","Agua","Absorbe Agua","ataque: 50, defensa: 40, velocidad: 90"
40,"Abra","Psíquico","Sincronía","ataque: 20, defensa: 15, velocidad: 90"
41,"Gastly","Fantasma/Veneno","Levitación","ataque: 35, defensa: 30, velocidad: 80"
